Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,St. Martin (French part),MAF,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,St. Vincent and the Grenadines,VCT,26.39665862,27.58281022,25.75407882,24.76218005,23.03093206,23.47317148,22.07655177,22.20051632
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Sudan,SDN,47.26205558,51.15242727,49.68593895,48.02814491,48.14174218,58.90478573,54.14727633,55.37083444
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Suriname,SUR,29.83188899,31.03872183,29.1336101,28.80831685,25.99884713,25.9732844,25.31697817,24.78001054
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Sweden,SWE,7.209759036,7.391221331,6.627941996,6.431168897,6.959197681,6.322498333,6.114258462,6.18466509
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Switzerland,CHE,12.92221973,13.04922122,12.26138801,11.82005499,11.38910719,11.16525468,10.34263047,10.3031001
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Syrian Arab Republic,SYR,42.65768485,41.12495285,41.01683877,41.91496819,41.53448066,44.31390854,43.70255284,43.75725947
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Tajikistan,TJK,50.40541765,54.319961,48.98960355,49.55313763,46.48082923,47.79297353,43.37770931,46.15218537
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Tanzania,TZA,28.60753269,28.72876866,29.96984478,29.35963299,28.87371592,28.2404487,28.44356969,29.07664051
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Thailand,THA,31.56539944,31.60962923,31.52531464,31.17472364,29.36464114,27.34456692,26.25805467,26.25672656
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Timor-Leste,TLS,23.49239604,23.75671867,22.46662382,21.96462302,20.45010047,20.62318671,20.01790265,19.25720917
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Togo,TGO,30.52294447,30.85480627,31.36920959,29.56592775,28.93629146,38.35682101,37.05110734,35.73133561
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Tonga,TON,13.53194839,13.5170884,12.43817111,12.14771339,12.05763996,11.31296782,10.95142376,10.78547886
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Trinidad and Tobago,TTO,28.70418626,29.85162487,27.94250467,27.15873901,24.85584226,24.8980769,24.23048069,24.10856843
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Tunisia,TUN,35.54548859,33.86835212,32.81580557,35.65414466,34.69205883,36.30424932,38.45049077,37.65599375
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Turkey,TUR,43.82122875,40.54510881,41.92091892,42.06258311,42.59577121,45.4015556,44.48275839,44.31152568
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Turkmenistan,TKM,24.85182927,25.49609942,23.80201005,23.7218898,22.08490686,22.97054002,21.74112228,21.76772098
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Turks and Caicos Islands,TCA,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Tuvalu,TUV,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Uganda,UGA,44.75869737,47.06116817,49.62672958,47.72115871,46.93056685,48.94936019,51.94410661,50.49432132
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Ukraine,UKR,23.52265648,23.97110359,22.3287933,21.5323995,20.48689522,21.24645457,20.618187,20.30977582
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,United Arab Emirates,ARE,38.98006849,39.1934301,39.27712811,39.6081551,37.98342106,42.33499,40.52210348,40.91750982
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,United Kingdom,GBR,12.29910815,12.84799901,11.81449494,11.61890149,10.80055978,10.75487287,10.50466684,10.47269039
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,United States,USA,9.35863641,9.740640607,9.00316337,8.734777211,8.220720319,8.063920222,7.406464089,7.409441662
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Uruguay,URY,11.02705557,11.4687322,10.5672946,10.45560559,9.926816159,9.65945432,9.197441119,9.27488332
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Uzbekistan,UZB,32.07745356,33.99383696,31.6621061,30.80519356,28.9000361,30.3943319,27.8143471,28.4559012
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Vanuatu,VUT,14.12951255,14.38296402,13.24245239,12.74069289,11.93385168,12.15721001,11.59090896,11.65277703
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Venezuela RB,VEN,21.68286882,22.03310792,21.24572753,20.42894973,19.10406153,18.30300574,16.76799384,17.00855357
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Vietnam,VNM,39.36539699,38.4869748,37.22745154,36.83590641,34.89601505,32.46644382,30.24131157,29.62672834
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Virgin Islands (U.S.),VIR,12.75209971,12.99373844,12.23312314,11.95551314,11.1658167,11.02889651,10.26484343,10.26531228
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,West Bank and Gaza,PSE,33.00667425,32.87331274,32.76945904,33.49296358,33.44828276,33.89141151,32.74206764,33.22563038
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Yemen Rep.,YEM,45.97946993,50.83529078,51.43445402,52.99844335,48.33865267,54.26028666,50.12762567,50.45600689
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Zambia,ZMB,28.8363786,28.98711674,29.74203953,29.11222078,28.49325189,28.37545168,27.35567371,27.43803476
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Zimbabwe,ZWE,23.2314787,23.07421266,23.19809712,23.11108755,22.80594966,21.73370858,21.72694718,22.25167109
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Arab World,ARB,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Caribbean small states,CSS,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Central Europe and the Baltics,CEB,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Early-demographic dividend,EAR,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,East Asia & Pacific,EAS,,,,,,,,
